Nom,Domaine,Périodicité,Mois,Coordonnees,Commune,Region,Code postal,Creation
Muscadeath,Musique,Annuelle,Septembre,"47.1715153308,-1.26146566077",Vallet,Pays de la Loire,44330,2002
Villes des musiques du monde,Musique,Annuelle,Octobre,"48.9121722626,2.38445513768",Aubervilliers,Île-de-France,93300,1998
Festival du mois kréyol,Théâtre,Annuelle,Octobre,"48.8626304852,2.33629344655",Paris,Île-de-France,75001,2017
Festival overlook,Musique,Annuelle,Octobre,"44.8543751872,0.486529423457",Bergerac,Nouvelle-Aquitaine,24100,1990
Fruit des voix,Musique,Annuelle,Octobre,"46.6744796278,5.55733212947",Lons Le Saunier,Bourgogne-Franche-Comté,39000,2007
Rencontres internationales du cinéma des antipodes à saint-tropez,Cinéma,Annuelle,Octobre,"43.262314383,6.66343039908",St Tropez,Provence-Alpes-Côte d'Azur,83990,1999
Festival paris banlieues tango,Musique,Annuelle,Octobre,"48.8626304852,2.33629344655",Paris,Île-de-France,75001,1998
Gerson fait son festival,Théâtre,Annuelle,Octobre,"45.7699284397,4.82922464978",Lyon,Auvergne-Rhône-Alpes,69001,2013
Vendanges littéraires,Livre,Annuelle,Octobre,"42.7785910442,2.87687296538",Rivesaltes,Occitanie,66600,
Baco reggae festival,Musique,Annuelle,Octobre,"48.8626304852,2.33629344655",Paris,Île-de-France,75001,2018
Telerama dub festival,Musique,Annuelle,Octobre,"48.8626304852,2.33629344655",Paris,Île-de-France,75001,2002
Festival des musiques interdites,Musique,Annuelle,Octobre,"43.2999009436,5.38227869795",Marseille,Provence-Alpes-Côte d'Azur,13001,2006
Rock this town a valence,Musique,Annuelle,Octobre,"44.9229811667,4.91444013136",Valence,Auvergne-Rhône-Alpes,26000,2016
Elekt'rhone festival,Musique,Annuelle,Septembre,"45.7699284397,4.82922464978",Lyon,Auvergne-Rhône-Alpes,69001,2015
Minifest jazz au el camino,Musique,Annuelle,Septembre,"49.1847936737,-0.369801713036",Caen,Normandie,14000,2006
Festival musical d'automne des jeunes interpretes / fimaj,Musique,Annuelle,Septembre,"48.9918643363,2.32119797848",Montmorency,Île-de-France,95160,
Festival soy,Musique,Annuelle,Octobre,"47.2316356767,-1.54831008605",Nantes,Pays de la Loire,44200,2003
Acces)s( culture(s) électronique(s(,Divers,Annuelle,Octobre,"43.3045259937,-0.393492580041",Billere,Nouvelle-Aquitaine,64140,2001
Traversées,Cinéma,Annuelle,Octobre,"46.9119730882,6.38914602031",Pontarlier,Bourgogne-Franche-Comté,25300,
Fêtes le pont (édition mai),Théâtre,Bi-Annuelle,Mai,"46.1620643972,-1.17465702836",La Rochelle,Nouvelle-Aquitaine,17000,2017
Festival wazemmes l'accordéon,Musique,Annuelle,Mai,"50.6317183168,3.04783272312",Lille,Hauts-de-France,59160,1992
Ebulli'son,Musique,Annuelle,Mai,"47.2418571296,6.08660837587",Montfaucon,Bourgogne-Franche-Comté,25660,2018
